#,Intent,cst_entity,Key-Problem Description Title
1,Payments and Settlements,p4bpayoutandsettlement,Payout Success - Amount not Credited
2,Payments and Settlements,p4bpayoutandsettlement,Payout Pending
3,Payments and Settlements,p4bpayoutandsettlement,Payout Failed
4,Payments and Settlements,p4bpayoutandsettlement,Settlement Data not available
5,Payments and Settlements,p4bpayoutandsettlement,Short/Less Payout received
6,Payments and Settlements,p4bpayoutandsettlement,Chargeback Transaction
7,Payments and Settlements,p4bpayoutandsettlement,Payout Unhold/Hold
8,Payments and Settlements,p4bpayoutandsettlement,Instant Settlement Activation
9,Payments and Settlements,p4bpayoutandsettlement,Payout Success
10,Payments and Settlements,p4bpayoutandsettlement,QR not working
11,Payments and Settlements,p4bpayoutandsettlement,Order/download QR
12,Payments and Settlements,p4bpayoutandsettlement,Rupay CC UPI enable/disable
13,Payments and Settlements,p4bpayoutandsettlement,Transaction Status - Success
14,Payments and Settlements,p4bpayoutandsettlement,Transaction Status - Not Found
15,Payments and Settlements,p4bpayoutandsettlement,Transaction Status - Failed
16,Payments and Settlements,p4bpayoutandsettlement,Transaction Status - Pending
17,Payments and Settlements,p4bpayoutandsettlement,Payment Limit Related
18,Payments and Settlements,p4bpayoutandsettlement,Account Upgrade Request
19,Payments and Settlements,p4bpayoutandsettlement,Bank Account Change
1,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Battery Issue
2,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Charger Issue
3,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Sound not Coming
4,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device not turning on - charger connected
5,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Damage
6,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Deactivation Request
7,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Lost
8,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Rental Info
9,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Picked rental not stopped
10,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Multiple Rental deduction
11,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Refund Related
12,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Device Not Working
13,Device,"p4bsoundbox, p4bAIBot, p4bedc",Soundbox Order & Delivery Related
14,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Battery Issue
15,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Charging Issue
16,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Network SIM Issue
17,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Not Working
18,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Damaged
19,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC Device Switch On Issue
20,Device,"p4bsoundbox, p4bAIBot, p4bedc",EDC PED Tempered Issue
